grid,family,region,n_nodes,n_edges,mean_degree,deg1_share,deg3_share,deg4plus_share,cebh_pc,observed_pc,cebh_gap,anchor_pc,anchor_err,cebh_abs_err,anchor_abs_err,fisher_tau,fisher_r2,fisher_s_hi
case1354pegase,PEGASE,Europe,1354,1710,2.5258493353028064,0.38552437223042835,0.15952732644017725,0.206794682422452,0.3339191564147627,0.61,0.27608084358523727,0.5664999742900929,-0.043500025709907075,0.27608084358523727,0.043500025709907075,2.627638039502544,0.9889159257892172,112.83333333333333
case2869pegase,PEGASE,Europe,2869,3968,2.7661205995120253,0.2635064482398048,0.17427675148135238,0.23910770303241546,0.31612492033142126,0.67,0.3538750796685788,0.5643775905000588,-0.10562240949994128,0.3538750796685788,0.10562240949994128,2.163446660219693,0.9636315063240247,300.0
case9241pegase,PEGASE,Europe,9241,14207,3.0747754572016017,0.16794719186235255,0.1623200952277892,0.2488908126826101,0.21136022137256946,0.69,0.47863977862743046,0.560277754473476,-0.1297222455265239,0.47863977862743046,0.1297222455265239,2.4616102129570145,0.9945411358010092,300.0
case1888rte,RTE,France,1888,2308,2.444915254237288,0.3893008474576271,0.1551906779661017,0.1763771186440678,0.34136961987871617,0.65,0.30863038012128385,0.5714731116408608,-0.07852688835913924,0.30863038012128385,0.07852688835913924,2.611438349264257,0.9722328226633963,157.33333333333334
case2848rte,RTE,France,2848,3442,2.417134831460674,0.3862359550561798,0.16116573033707865,0.16678370786516855,0.3494061516597299,0.63,0.2805938483402701,0.5750438682031671,-0.0549561317968329,0.2805938483402701,0.0549561317968329,2.4765444184055005,0.9855895789134992,300.0
case6470rte,RTE,France,6470,8066,2.493353941267388,0.32457496136012365,0.17712519319938178,0.16846986089644514,0.3523655585164476,0.61,0.2576344414835524,0.5782640325525026,-0.031735967447497404,0.2576344414835524,0.031735967447497404,2.6859545829468874,0.9972613283570799,300.0
case3120sp,Polish,Poland,3120,3684,2.3615384615384616,0.18108974358974358,0.17564102564102563,0.125,0.5042430878729811,0.67,0.16575691212701893,0.5892127902740345,-0.08078720972596554,0.16575691212701893,0.08078720972596554,2.660294399829036,0.9950605319830025,300.0
GBnetwork,GB,UK,2224,2804,2.5215827338129495,0.3125,0.21223021582733814,0.16366906474820145,0.3573340129985982,0.65,0.29266598700140184,0.5862154548832749,-0.06378454511672516,0.29266598700140184,0.06378454511672516,2.0013919924653547,0.9785885764281727,300.0
case_illinois200,Illinois,US,200,245,2.45,0.36,0.155,0.21,0.3804347826086957,0.67,0.28956521739130436,0.5648467532143879,-0.10515324678561211,0.28956521739130436,0.10515324678561211,2.2252372038197517,0.9337477303853932,40.0
case300,IEEE300,US,300,409,2.7266666666666666,0.23,0.28,0.23666666666666666,0.3851224105461393,0.71,0.32487758945386064,0.5827555235610046,-0.1272444764389954,0.32487758945386064,0.1272444764389954,2.2595897899718094,0.9414095042769415,40.0
