city,country,macro_region,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,n_replicates_pass,n_replicates_total
Amsterdam,Netherlands,Europe,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.20831914289768705,0.02499999999999991,0.004986772888983489,0.0021250129573960816,0.0,0,1,1
Dubai,United Arab Emirates,Middle East,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.7,0.20913883247634285,0.025000000000000022,0.005017605633802817,0.0024362097704833953,0.0,0,1,1
Dar es Salaam,Tanzania,Africa,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.725,0.2174011640769924,0.050000000000000044,0.004995641386709582,0.0018464817706397006,0.0,0,1,1
Rio de Janeiro,Brazil,Latin America,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.7,0.22065162213300094,0.0,0.0050062578222778474,0.001896668064851458,0.0,0,1,1
Kuala Lumpur,Malaysia,Asia,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.7,0.20309838844827238,0.0,0.005000098041138061,0.0016414336474586744,0.0,0,1,1
Seattle,United States,North America,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.7,0.25822831232913246,-0.04999999999999993,0.005018678540432436,0.002359494748793642,0.0,0,1,1
Sydney,Australia,Oceania,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.7,0.21270367518815897,0.0,0.004997904104730274,0.0018143934073137614,0.0,0,1,1
Nairobi,Kenya,Africa,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.8,0.25669078630004827,0.02499999999999991,0.005007635756650211,0.0024413047995013506,0.0,0,1,1
Taipei,Taiwan,Asia,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.6,0.16831538981640398,0.0,0.00497991967871486,0.0017980917026768366,0.0,0,1,1
Chicago,United States,North America,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.20400529685997787,0.0,0.0049931287219422815,0.0012435682422334028,0.0,0,1,1
Rome,Italy,Europe,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.7,0.22946702892110815,-0.02499999999999991,0.004991635637580271,0.0020816689358733446,0.0,0,1,1
Hong Kong,China,Asia,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.675,0.20982246338636612,0.0,0.004983012457531144,0.001802589173540176,0.0,0,1,1
Kampala,Uganda,Africa,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.825,0.2505478606026119,0.0,0.0050010871928680145,0.0016244977398292314,0.0,0,1,1
Buenos Aires,Argentina,Latin America,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.575,0.19438426222181587,0.0,0.004776900085397096,0.001063576945929887,0.0,0,1,1
Montevideo,Uruguay,Latin America,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.625,0.2180316873323182,-0.025000000000000022,0.004988864142538975,0.0015937162046786954,0.0,0,1,1
Chennai,India,Asia,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.725,0.22655108049844896,0.0,0.0049929676511954995,0.0017584921548959146,0.0,0,1,1
Dakar,Senegal,Africa,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.675,0.21496224040276923,0.02499999999999991,0.005008231120591713,0.0014635633702612053,0.0,0,1,1
Singapore,Singapore,Asia,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.675,0.20817956849742925,0.0,0.004992279979413278,0.0019679448163927773,0.0,0,1,1
Miami,United States,North America,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.625,0.2061689258125638,-0.025000000000000022,0.005011135857461025,0.0029680318238967784,0.0,0,1,1
Ho Chi Minh City,Vietnam,Asia,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.725,0.21905028531365012,0.0,0.005004041726009469,0.0017854077253218884,0.0,0,1,1
Barcelona,Spain,Europe,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.65,0.21118580324923503,-0.025000000000000022,0.004996530187369882,0.0018154082777574665,0.0,0,1,1
