target,model_group,n,n_features_used,features_used,cv_r2,in_sample_r2,alpha
road_gap,graph_only,71,21,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg,0.3439951084746926,0.5664182834253276,33.035991201283395
road_gap,ghsl_only,71,14,ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019,0.08149915520415818,0.25775606412026386,112.36548001387516
road_gap,wdi_only,71,6,wdi_urban_population_pct;wdi_urban_population_growth_pct;wdi_population_density_people_per_km2;wdi_gdp_per_capita_constant_2015_usd;wdi_population_total;wdi_gini_index,0.11151586531715774,0.29221917620763893,26.938893095901697
road_gap,graph_plus_ghsl,71,35,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg;ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019,0.3304564393668341,0.5299364709880678,137.79723598335568
road_gap,graph_plus_ghsl_wdi,71,41,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg;ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019;wdi_urban_population_pct;wdi_urban_population_growth_pct;wdi_population_density_people_per_km2;wdi_gdp_per_capita_constant_2015_usd;wdi_population_total;wdi_gini_index,0.33131065861255105,0.5605032594963917,112.36548001387516
road_minus_spatial,graph_only,71,21,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg,0.31418841825418986,0.49691338389833883,26.938893095901697
road_minus_spatial,ghsl_only,71,14,ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019,0.11869326737556996,0.26400664763493664,112.36548001387516
road_minus_spatial,wdi_only,71,6,wdi_urban_population_pct;wdi_urban_population_growth_pct;wdi_population_density_people_per_km2;wdi_gdp_per_capita_constant_2015_usd;wdi_population_total;wdi_gini_index,0.07065967224782077,0.2863167029835304,26.938893095901697
road_minus_spatial,graph_plus_ghsl,71,35,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg;ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019,0.33218533825203866,0.49009301222209756,91.62739011886731
road_minus_spatial,graph_plus_ghsl_wdi,71,41,node_density_per_km2;edge_density_per_km2;chord_length_density_km_per_km2;edge_length_mean_m;edge_length_cv;orientation_entropy;orientation_fourfold_order;dead_end_share;degree4plus_share;mean_degree;kappa;cycle_density;residential_length_share;oneway_length_share;edge_circuity_mean;articulation_point_share;bridge_edge_share;largest_biconnected_node_fraction;dual_degree_mean;angular_entropy;straight_angle_share_10deg;ghsl_population_density_2025;ghsl_log_population_2025;ghsl_log_area_2025;ghsl_infrastructure_index_2020;ghsl_road_density_2024;ghsl_gdp_avg_2020;ghsl_gdp_sum_2020;ghsl_hdi_2020;ghsl_life_expectancy_2020;ghsl_expected_schooling_2020;ghsl_mean_schooling_2020;ghsl_lulc_entropy_2019;ghsl_lulc_dominance_2019;ghsl_lulc_nonzero_classes_2019;wdi_urban_population_pct;wdi_urban_population_growth_pct;wdi_population_density_people_per_km2;wdi_gdp_per_capita_constant_2015_usd;wdi_population_total;wdi_gini_index,0.31876563440371475,0.48502267634595886,112.36548001387516
