street_form_bottleneck_quartile,metric,n_cities,mean,ci95_low,ci95_high
Q1 low bottleneck / high redundancy,road_gap,18,0.20361598673707143,0.1961688678573482,0.21123360480126063
Q1 low bottleneck / high redundancy,road_minus_spatial,18,0.09166666666666662,0.08472222222222216,0.09861111111111105
Q1 low bottleneck / high redundancy,road_minus_geometry_mean,18,0.001388888888888889,-0.002777777777777778,0.005555555555555556
Q1 low bottleneck / high redundancy,geometry_absorption_fraction_of_road_gap,18,0.4424195804801844,0.4083427778199563,0.4731622593934541
Q2,road_gap,18,0.20595124197599887,0.19735443439922024,0.21455243726915316
Q2,road_minus_spatial,18,0.08611111111111104,0.07777777777777771,0.09444444444444439
Q2,road_minus_geometry_mean,18,0.001388888888888889,-0.005555555555555556,0.008333333333333335
Q2,geometry_absorption_fraction_of_road_gap,18,0.41150256309357064,0.3517502575741285,0.46847133070460545
Q3,road_gap,17,0.219147185038135,0.21118724746128595,0.22764875390445957
Q3,road_minus_spatial,17,0.09117647058823523,0.08382352941176463,0.09999999999999995
Q3,road_minus_geometry_mean,17,-0.0029411764705882418,-0.010294117647058836,0.004411764705882347
Q3,geometry_absorption_fraction_of_road_gap,17,0.4302784014479575,0.39755214951289725,0.4641532079338869
Q4 high bottleneck / low redundancy,road_gap,18,0.23775853552358278,0.2252428494350577,0.2501663593783358
Q4 high bottleneck / low redundancy,road_minus_spatial,18,0.11666666666666663,0.10694444444444437,0.12638888888888886
Q4 high bottleneck / low redundancy,road_minus_geometry_mean,18,0.0055555555555555445,-0.005555555555555567,0.016666666666666646
Q4 high bottleneck / low redundancy,geometry_absorption_fraction_of_road_gap,18,0.46920425522992304,0.42817684065574896,0.5120213798776242
