graph,seed,chi_chord,chi_added,accepted_swaps,pc,pc_ci_lo,pc_ci_hi,mean_degree
auckland_new_zealand,7003,0.03557288896767712,0.0,0,0.725,0.71,0.8051250000000001,2.700550546557089
auckland_new_zealand,7003,0.09271405779117178,0.05714116882349466,253,0.715,0.7,0.785,2.700550546557089
auckland_new_zealand,7003,0.1412870058500266,0.10571411688234947,475,0.745,0.71,0.75,2.700550546557089
chicago_united_states,7005,0.05154827791245483,0.0,0,0.595,0.59,0.63,3.2975867269984915
chicago_united_states,7005,0.10757901477381879,0.05603073686136396,294,0.585,0.575,0.615,3.2975867269984915
chicago_united_states,7005,0.15716049947399716,0.10561222156154232,550,0.585,0.57,0.595,3.2975867269984915
taipei_taiwan,7007,0.12570258551469407,0.0,0,0.585,0.57,0.595125,3.0397852086892847
taipei_taiwan,7007,0.18154809699694877,0.055845511482254695,349,0.6,0.5798749999999999,0.6,3.0397852086892847
taipei_taiwan,7007,0.23076923076923078,0.10506664525453671,657,0.595,0.57,0.6,3.0397852086892847
algiers_algeria,7002,0.045474964580669686,0.0,0,0.75,0.72,0.785,2.6668202552642493
algiers_algeria,7002,0.10104011887072809,0.0555651542900584,391,0.75,0.71,0.78,2.6668202552642493
algiers_algeria,7002,0.1514219565292512,0.10594699194858151,771,0.73,0.7098749999999999,0.78,2.6668202552642493
barcelona_spain,7004,0.06218801996672213,0.0,0,0.625,0.59,0.655,3.089643354396487
barcelona_spain,7004,0.11772046589018303,0.055532445923460905,378,0.625,0.59,0.66,3.089643354396487
barcelona_spain,7004,0.1670479755962285,0.10485995562950637,722,0.63,0.61,0.645,3.089643354396487
kampala_uganda,7000,0.012387414579962813,0.0,0,0.805,0.805,0.845,2.3053970551395886
kampala_uganda,7000,0.06879482288170381,0.056407408301741,568,0.805,0.795,0.83,2.3053970551395886
kampala_uganda,7000,0.11815130514572719,0.10576389056576438,1086,0.805,0.784625,0.825,2.3053970551395886
kuala_lumpur_malaysia,7006,0.10111589663273297,0.0,0,0.7,0.695,0.715,2.7452771880794344
kuala_lumpur_malaysia,7006,0.1572043852779953,0.05608848864526232,704,0.68,0.67,0.71,2.7452771880794344
kuala_lumpur_malaysia,7006,0.20689115113547377,0.10577525450274079,1352,0.68,0.675,0.7,2.7452771880794344
addis_ababa_ethiopia,7001,0.01620043717661382,0.0,0,0.695,0.695,0.72,2.8302596029601785
addis_ababa_ethiopia,7001,0.07195429014139067,0.05575385296477685,945,0.7,0.69,0.705,2.8302596029601785
addis_ababa_ethiopia,7001,0.12170388201765309,0.10550344484103927,1801,0.7,0.68,0.705,2.8302596029601785
